transaction_id,user_id,amount,transaction_type,location,timestamp,flagged_alert
43,4753,10.67,Online Purchase,Cancun,2024-01-02 18:00:00,0
44,3047,2560.53,Wire Transfer,Mexico City,2024-01-02 19:00:00,0
45,4547,243.79,Online Purchase,Monterrey,2024-01-02 20:00:00,0
46,3747,1388.09,Wire Transfer,Monterrey,2024-01-02 21:00:00,1
47,1975,3537.81,Online Purchase,Cancun,2024-01-02 22:00:00,1
48,2806,322.82,Online Purchase,Cancun,2024-01-02 23:00:00,0
49,1189,4198.3,Online Purchase,Cancun,2024-01-03 00:00:00,0
50,4005,29.06,Online Purchase,Guadalajara,2024-01-03 01:00:00,0
51,3734,1241.65,POS Payment,Mexico City,2024-01-03 02:00:00,0
52,4005,3707.11,Online Purchase,Monterrey,2024-01-03 03:00:00,0
53,1562,1588.19,Online Purchase,Mexico City,2024-01-03 04:00:00,1
54,2899,518.44,ATM Withdrawal,Mexico City,2024-01-03 05:00:00,1
55,4638,1807.57,Online Purchase,Mexico City,2024-01-03 06:00:00,1
56,2267,1359.26,Wire Transfer,Cancun,2024-01-03 07:00:00,0
57,3879,4215.13,POS Payment,Cancun,2024-01-03 08:00:00,1
58,2528,1573.61,ATM Withdrawal,Monterrey,2024-01-03 09:00:00,0
59,4202,3946.77,POS Payment,Monterrey,2024-01-03 10:00:00,0
60,4556,4460.44,ATM Withdrawal,Monterrey,2024-01-03 11:00:00,1
61,4890,2174.75,Online Purchase,Mexico City,2024-01-03 12:00:00,0
62,1646,4550.62,Wire Transfer,Cancun,2024-01-03 13:00:00,1
63,3068,1892.82,ATM Withdrawal,Guadalajara,2024-01-03 14:00:00,0
64,3888,4820.75,Wire Transfer,Mexico City,2024-01-03 15:00:00,0
65,3214,455.55,POS Payment,Tijuana,2024-01-03 16:00:00,0
66,2297,3438.23,ATM Withdrawal,Mexico City,2024-01-03 17:00:00,1
67,3435,2474.13,POS Payment,Cancun,2024-01-03 18:00:00,0
68,1600,1944.37,Wire Transfer,Tijuana,2024-01-03 19:00:00,0
69,3363,3167.23,ATM Withdrawal,Mexico City,2024-01-03 20:00:00,0
70,3061,3522.25,Wire Transfer,Cancun,2024-01-03 21:00:00,0
71,1241,31.77,Online Purchase,Cancun,2024-01-03 22:00:00,0
72,3041,843.1,POS Payment,Guadalajara,2024-01-03 23:00:00,0
73,3824,3568.1,Wire Transfer,Mexico City,2024-01-04 00:00:00,0
74,4417,3335.26,Online Purchase,Cancun,2024-01-04 01:00:00,1
75,3612,4830.58,Online Purchase,Monterrey,2024-01-04 02:00:00,1
76,3945,3807.58,Wire Transfer,Cancun,2024-01-04 03:00:00,0
77,2363,4754.36,Online Purchase,Guadalajara,2024-01-04 04:00:00,1
78,3139,3515.68,Online Purchase,Cancun,2024-01-04 05:00:00,1
79,2390,1497.28,ATM Withdrawal,Mexico City,2024-01-04 06:00:00,0
80,4003,535.77,Online Purchase,Mexico City,2024-01-04 07:00:00,0
81,2478,3911.3,ATM Withdrawal,Tijuana,2024-01-04 08:00:00,1
82,4499,3224.3,Online Purchase,Mexico City,2024-01-04 09:00:00,0
83,3556,250.45,Online Purchase,Tijuana,2024-01-04 10:00:00,0
84,1775,1806.65,Wire Transfer,Monterrey,2024-01-04 11:00:00,0
85,1034,4784.43,ATM Withdrawal,Guadalajara,2024-01-04 12:00:00,1
86,3253,2507.0,Online Purchase,Monterrey,2024-01-04 13:00:00,0
87,4152,2169.32,Online Purchase,Tijuana,2024-01-04 14:00:00,0
88,2955,2293.92,ATM Withdrawal,Cancun,2024-01-04 15:00:00,0
89,2585,1052.32,Online Purchase,Cancun,2024-01-04 16:00:00,0
90,4943,1849.85,Online Purchase,Monterrey,2024-01-04 17:00:00,0
91,4459,1855.37,Online Purchase,Cancun,2024-01-04 18:00:00,0
92,4073,271.25,POS Payment,Tijuana,2024-01-04 19:00:00,0
93,2021,3840.16,Wire Transfer,Guadalajara,2024-01-04 20:00:00,0
94,4461,2088.36,Wire Transfer,Mexico City,2024-01-04 21:00:00,0
95,3613,4112.68,Wire Transfer,Tijuana,2024-01-04 22:00:00,1
96,2129,4253.24,Wire Transfer,Tijuana,2024-01-04 23:00:00,0
97,4843,1067.85,ATM Withdrawal,Mexico City,2024-01-05 00:00:00,1
98,4893,3290.19,Wire Transfer,Mexico City,2024-01-05 01:00:00,0
99,2500,2366.69,Online Purchase,Guadalajara,2024-01-05 02:00:00,0
100,1702,4401.98,Wire Transfer,Guadalajara,2024-01-05 03:00:00,0
101,3449,1086.55,Wire Transfer,Guadalajara,2024-01-05 04:00:00,1
102,3777,3392.29,ATM Withdrawal,Cancun,2024-01-05 05:00:00,0
103,2579,3042.68,Online Purchase,Tijuana,2024-01-05 06:00:00,0
104,1161,1483.55,Online Purchase,Mexico City,2024-01-05 07:00:00,0
105,1201,691.64,Wire Transfer,Tijuana,2024-01-05 08:00:00,0
106,2981,3261.68,Wire Transfer,Tijuana,2024-01-05 09:00:00,0
107,1995,3695.6,POS Payment,Guadalajara,2024-01-05 10:00:00,0
108,3317,1584.98,Online Purchase,Guadalajara,2024-01-05 11:00:00,0
109,4934,3227.71,Wire Transfer,Tijuana,2024-01-05 12:00:00,0
110,1815,1981.7,ATM Withdrawal,Guadalajara,2024-01-05 13:00:00,0
111,4342,3568.9,POS Payment,Cancun,2024-01-05 14:00:00,0
112,1455,1004.08,ATM Withdrawal,Mexico City,2024-01-05 15:00:00,1
113,4533,4452.17,ATM Withdrawal,Tijuana,2024-01-05 16:00:00,1
114,4798,1444.17,ATM Withdrawal,Mexico City,2024-01-05 17:00:00,1
115,2275,1845.25,Wire Transfer,Cancun,2024-01-05 18:00:00,0
116,2016,299.88,POS Payment,Guadalajara,2024-01-05 19:00:00,0
117,4773,566.45,Online Purchase,Monterrey,2024-01-05 20:00:00,0
118,3343,2584.15,Online Purchase,Cancun,2024-01-05 21:00:00,0
119,4796,1345.29,POS Payment,Monterrey,2024-01-05 22:00:00,0
120,3767,4179.05,ATM Withdrawal,Mexico City,2024-01-05 23:00:00,0
121,4820,83.32,Wire Transfer,Tijuana,2024-01-06 00:00:00,0
122,1337,1901.68,ATM Withdrawal,Guadalajara,2024-01-06 01:00:00,1
123,1878,1693.35,Online Purchase,Cancun,2024-01-06 02:00:00,1
124,2076,106.44,Wire Transfer,Guadalajara,2024-01-06 03:00:00,0
125,1791,630.6,Wire Transfer,Monterrey,2024-01-06 04:00:00,0
126,4993,2074.08,Online Purchase,Monterrey,2024-01-06 05:00:00,0
127,3264,2469.39,Online Purchase,Tijuana,2024-01-06 06:00:00,1
128,1763,2027.41,POS Payment,Monterrey,2024-01-06 07:00:00,0
129,3235,2659.38,Online Purchase,Tijuana,2024-01-06 08:00:00,0
130,1379,2979.71,POS Payment,Cancun,2024-01-06 09:00:00,0
131,1492,59.52,Online Purchase,Tijuana,2024-01-06 10:00:00,0
132,4112,2325.83,ATM Withdrawal,Monterrey,2024-01-06 11:00:00,1
133,2180,4817.86,POS Payment,Mexico City,2024-01-06 12:00:00,1
134,3062,2599.97,Wire Transfer,Tijuana,2024-01-06 13:00:00,0
135,4884,3390.94,ATM Withdrawal,Guadalajara,2024-01-06 14:00:00,1
136,1064,1566.2,Wire Transfer,Mexico City,2024-01-06 15:00:00,0
137,4928,3872.22,Online Purchase,Tijuana,2024-01-06 16:00:00,0
138,4910,3866.88,Online Purchase,Guadalajara,2024-01-06 17:00:00,0
139,3568,2611.27,POS Payment,Mexico City,2024-01-06 18:00:00,0
140,2367,4880.31,Wire Transfer,Tijuana,2024-01-06 19:00:00,1
141,2152,636.5,Wire Transfer,Cancun,2024-01-06 20:00:00,0
142,3027,94.57,Online Purchase,Guadalajara,2024-01-06 21:00:00,0
143,3695,3853.09,Online Purchase,Cancun,2024-01-06 22:00:00,0
144,2495,4037.71,Online Purchase,Monterrey,2024-01-06 23:00:00,0
145,4134,609.83,ATM Withdrawal,Tijuana,2024-01-07 00:00:00,1
146,2162,1335.26,Wire Transfer,Tijuana,2024-01-07 01:00:00,0
147,2522,97.59,ATM Withdrawal,Guadalajara,2024-01-07 02:00:00,1
148,3640,1473.61,POS Payment,Tijuana,2024-01-07 03:00:00,0
149,1391,3867.98,Online Purchase,Monterrey,2024-01-07 04:00:00,0
150,2698,2594.62,Online Purchase,Tijuana,2024-01-07 05:00:00,0
151,1418,1747.0,Online Purchase,Mexico City,2024-01-07 06:00:00,0
152,3336,1864.98,ATM Withdrawal,Cancun,2024-01-07 07:00:00,1
153,1378,16.75,Online Purchase,Monterrey,2024-01-07 08:00:00,0
154,2796,1506.0,POS Payment,Monterrey,2024-01-07 09:00:00,0
155,4561,3235.83,Online Purchase,Cancun,2024-01-07 10:00:00,0
156,3278,4871.23,POS Payment,Cancun,2024-01-07 11:00:00,1
157,4065,4236.83,ATM Withdrawal,Monterrey,2024-01-07 12:00:00,0
158,3088,127.74,POS Payment,Cancun,2024-01-07 13:00:00,0
159,4099,4493.82,ATM Withdrawal,Guadalajara,2024-01-07 14:00:00,1
160,3182,3918.16,POS Payment,Cancun,2024-01-07 15:00:00,0
161,1200,3904.08,Online Purchase,Mexico City,2024-01-07 16:00:00,0
162,2863,2295.4,Wire Transfer,Mexico City,2024-01-07 17:00:00,0
163,1779,1996.05,POS Payment,Guadalajara,2024-01-07 18:00:00,0
164,3977,1521.55,Online Purchase,Cancun,2024-01-07 19:00:00,0
165,4104,337.82,Online Purchase,Mexico City,2024-01-07 20:00:00,0
166,4119,1148.89,ATM Withdrawal,Tijuana,2024-01-07 21:00:00,0
167,1502,1240.55,POS Payment,Cancun,2024-01-07 22:00:00,0
168,3454,2425.54,ATM Withdrawal,Guadalajara,2024-01-07 23:00:00,1
169,4645,3739.75,ATM Withdrawal,Cancun,2024-01-08 00:00:00,0
170,2751,2374.31,Online Purchase,Monterrey,2024-01-08 01:00:00,0
171,1804,298.64,Online Purchase,Monterrey,2024-01-08 02:00:00,0
172,3146,4789.37,POS Payment,Mexico City,2024-01-08 03:00:00,1
173,3731,4714.19,Online Purchase,Monterrey,2024-01-08 04:00:00,0
174,2895,3928.1,Wire Transfer,Guadalajara,2024-01-08 05:00:00,0
175,3773,4956.73,POS Payment,Mexico City,2024-01-08 06:00:00,1
176,2570,2726.97,Online Purchase,Guadalajara,2024-01-08 07:00:00,0
177,1960,4814.21,Wire Transfer,Guadalajara,2024-01-08 08:00:00,1
178,4810,387.27,Online Purchase,Monterrey,2024-01-08 09:00:00,1
179,3660,1834.75,Wire Transfer,Monterrey,2024-01-08 10:00:00,0
180,2485,1134.65,Online Purchase,Guadalajara,2024-01-08 11:00:00,0
181,3690,987.21,Wire Transfer,Monterrey,2024-01-08 12:00:00,0
182,4840,712.61,Online Purchase,Monterrey,2024-01-08 13:00:00,0
183,2028,3115.84,ATM Withdrawal,Monterrey,2024-01-08 14:00:00,1
184,4289,3908.8,ATM Withdrawal,Cancun,2024-01-08 15:00:00,0
185,1502,2895.71,Online Purchase,Guadalajara,2024-01-08 16:00:00,0
186,3814,743.34,Wire Transfer,Tijuana,2024-01-08 17:00:00,0
187,1397,4057.51,Online Purchase,Guadalajara,2024-01-08 18:00:00,1
188,1870,3183.41,Wire Transfer,Mexico City,2024-01-08 19:00:00,0
189,3842,1946.95,Online Purchase,Monterrey,2024-01-08 20:00:00,0
190,1392,3373.91,Wire Transfer,Monterrey,2024-01-08 21:00:00,0
191,1206,1306.93,Online Purchase,Tijuana,2024-01-08 22:00:00,0
192,2038,1732.51,ATM Withdrawal,Mexico City,2024-01-08 23:00:00,1
193,2881,4588.25,Online Purchase,Cancun,2024-01-09 00:00:00,1
194,4625,1459.62,Wire Transfer,Guadalajara,2024-01-09 01:00:00,1
195,3939,2355.24,Online Purchase,Cancun,2024-01-09 02:00:00,0
196,2484,4451.8,POS Payment,Mexico City,2024-01-09 03:00:00,1
197,4762,3541.53,POS Payment,Tijuana,2024-01-09 04:00:00,0
198,4646,320.39,Online Purchase,Mexico City,2024-01-09 05:00:00,0
199,1863,745.04,Wire Transfer,Tijuana,2024-01-09 06:00:00,0
200,3790,49.13,Online Purchase,Cancun,2024-01-09 07:00:00,0
201,4312,3158.3,Online Purchase,Cancun,2024-01-09 08:00:00,0
202,1563,2243.89,Wire Transfer,Mexico City,2024-01-09 09:00:00,0
203,2020,680.03,Wire Transfer,Mexico City,2024-01-09 10:00:00,0
204,1095,4790.09,Wire Transfer,Monterrey,2024-01-09 11:00:00,0
205,2923,2653.0,Online Purchase,Tijuana,2024-01-09 12:00:00,1
206,2757,1217.05,Online Purchase,Monterrey,2024-01-09 13:00:00,0
207,3532,2508.01,Online Purchase,Guadalajara,2024-01-09 14:00:00,0
208,4478,3401.31,Wire Transfer,Guadalajara,2024-01-09 15:00:00,0
209,3278,390.43,ATM Withdrawal,Mexico City,2024-01-09 16:00:00,1
210,3796,1380.77,Wire Transfer,Cancun,2024-01-09 17:00:00,0
211,2678,4036.76,Online Purchase,Guadalajara,2024-01-09 18:00:00,1
212,4242,2303.73,Online Purchase,Guadalajara,2024-01-09 19:00:00,0
213,1540,2737.42,Online Purchase,Monterrey,2024-01-09 20:00:00,1
214,2059,2169.75,Online Purchase,Monterrey,2024-01-09 21:00:00,0
215,3572,229.06,Online Purchase,Guadalajara,2024-01-09 22:00:00,0
216,2183,837.09,POS Payment,Mexico City,2024-01-09 23:00:00,0
217,4910,2233.25,POS Payment,Monterrey,2024-01-10 00:00:00,0
218,2722,1053.84,ATM Withdrawal,Guadalajara,2024-01-10 01:00:00,1
219,4314,259.4,ATM Withdrawal,Cancun,2024-01-10 02:00:00,1
220,4157,4219.81,Online Purchase,Monterrey,2024-01-10 03:00:00,1
221,2819,4906.15,POS Payment,Guadalajara,2024-01-10 04:00:00,1
222,3625,3967.78,Online Purchase,Tijuana,2024-01-10 05:00:00,0
223,3729,4270.39,POS Payment,Monterrey,2024-01-10 06:00:00,1
224,3604,1217.47,ATM Withdrawal,Tijuana,2024-01-10 07:00:00,1
225,2597,4803.53,Online Purchase,Monterrey,2024-01-10 08:00:00,1
226,4060,992.66,POS Payment,Monterrey,2024-01-10 09:00:00,0
227,3693,4757.63,Online Purchase,Tijuana,2024-01-10 10:00:00,1
228,1795,4974.15,ATM Withdrawal,Mexico City,2024-01-10 11:00:00,1
229,2051,3561.5,ATM Withdrawal,Guadalajara,2024-01-10 12:00:00,0
230,2643,4905.91,Online Purchase,Mexico City,2024-01-10 13:00:00,0
231,4627,2852.0,ATM Withdrawal,Mexico City,2024-01-10 14:00:00,1
232,2363,1305.11,Wire Transfer,Guadalajara,2024-01-10 15:00:00,0
233,4869,2190.61,Wire Transfer,Cancun,2024-01-10 16:00:00,0
234,2981,2971.87,Online Purchase,Mexico City,2024-01-10 17:00:00,1
235,2354,374.68,POS Payment,Mexico City,2024-01-10 18:00:00,0
236,2663,3115.49,Online Purchase,Mexico City,2024-01-10 19:00:00,0
237,2529,4906.08,Online Purchase,Cancun,2024-01-10 20:00:00,0
238,3038,958.64,Online Purchase,Monterrey,2024-01-10 21:00:00,0
239,4419,3965.05,Online Purchase,Tijuana,2024-01-10 22:00:00,0
240,2496,4540.41,Online Purchase,Tijuana,2024-01-10 23:00:00,1
241,4302,4719.07,POS Payment,Cancun,2024-01-11 00:00:00,1
242,3237,4801.08,Online Purchase,Mexico City,2024-01-11 01:00:00,0
243,4296,2612.08,Online Purchase,Tijuana,2024-01-11 02:00:00,0
244,2408,4886.77,Online Purchase,Cancun,2024-01-11 03:00:00,1
245,2400,3788.98,Wire Transfer,Guadalajara,2024-01-11 04:00:00,0
246,2306,816.74,POS Payment,Tijuana,2024-01-11 05:00:00,0
247,3680,2389.73,Online Purchase,Guadalajara,2024-01-11 06:00:00,1
248,3675,3594.47,Online Purchase,Mexico City,2024-01-11 07:00:00,0
249,1972,1244.23,Online Purchase,Tijuana,2024-01-11 08:00:00,0
250,2768,3206.67,Online Purchase,Cancun,2024-01-11 09:00:00,0
251,2282,3336.34,Online Purchase,Monterrey,2024-01-11 10:00:00,0
252,4430,821.87,ATM Withdrawal,Tijuana,2024-01-11 11:00:00,1
253,1709,2829.78,Online Purchase,Tijuana,2024-01-11 12:00:00,1
254,2479,3860.42,ATM Withdrawal,Tijuana,2024-01-11 13:00:00,0
255,2434,2499.49,Online Purchase,Tijuana,2024-01-11 14:00:00,0
256,1648,70.39,POS Payment,Cancun,2024-01-11 15:00:00,0
257,1317,55.1,POS Payment,Cancun,2024-01-11 16:00:00,0
258,4748,1791.58,ATM Withdrawal,Monterrey,2024-01-11 17:00:00,1
259,4296,4631.71,Online Purchase,Cancun,2024-01-11 18:00:00,1
260,4890,1151.1,Online Purchase,Cancun,2024-01-11 19:00:00,0
261,2257,3175.47,ATM Withdrawal,Mexico City,2024-01-11 20:00:00,1
262,1683,1118.16,Wire Transfer,Mexico City,2024-01-11 21:00:00,0
263,1663,1615.13,ATM Withdrawal,Guadalajara,2024-01-11 22:00:00,1
264,2998,4241.73,POS Payment,Monterrey,2024-01-11 23:00:00,1
265,4898,3647.02,POS Payment,Mexico City,2024-01-12 00:00:00,0
266,4445,486.04,Online Purchase,Monterrey,2024-01-12 01:00:00,0
267,4743,2149.22,ATM Withdrawal,Monterrey,2024-01-12 02:00:00,0
268,2631,155.56,Online Purchase,Tijuana,2024-01-12 03:00:00,1
269,2495,2409.64,Online Purchase,Monterrey,2024-01-12 04:00:00,0
270,4304,3315.55,ATM Withdrawal,Tijuana,2024-01-12 05:00:00,1
271,4763,601.33,Online Purchase,Guadalajara,2024-01-12 06:00:00,0
272,2136,1451.54,POS Payment,Guadalajara,2024-01-12 07:00:00,1
273,2853,1995.2,Online Purchase,Guadalajara,2024-01-12 08:00:00,0
274,2520,4598.46,ATM Withdrawal,Tijuana,2024-01-12 09:00:00,1
275,3489,4966.34,Wire Transfer,Tijuana,2024-01-12 10:00:00,1
276,1563,234.11,Wire Transfer,Guadalajara,2024-01-12 11:00:00,0
277,2291,3807.43,Online Purchase,Tijuana,2024-01-12 12:00:00,0
278,4581,1864.9,POS Payment,Cancun,2024-01-12 13:00:00,0
279,4878,1968.37,ATM Withdrawal,Cancun,2024-01-12 14:00:00,1
280,4457,3773.78,ATM Withdrawal,Tijuana,2024-01-12 15:00:00,1
281,4458,4592.95,Online Purchase,Tijuana,2024-01-12 16:00:00,1
282,4184,4755.13,ATM Withdrawal,Mexico City,2024-01-12 17:00:00,0
283,2636,2889.84,POS Payment,Mexico City,2024-01-12 18:00:00,0
284,4696,1792.03,Wire Transfer,Monterrey,2024-01-12 19:00:00,0
285,3999,3939.87,POS Payment,Monterrey,2024-01-12 20:00:00,0
286,4152,1262.5,ATM Withdrawal,Monterrey,2024-01-12 21:00:00,1
287,1698,2824.73,Online Purchase,Guadalajara,2024-01-12 22:00:00,0
288,3160,1799.31,Online Purchase,Cancun,2024-01-12 23:00:00,1
289,1001,3286.59,Online Purchase,Guadalajara,2024-01-13 00:00:00,0
290,1641,1209.59,Wire Transfer,Tijuana,2024-01-13 01:00:00,0
291,3267,966.05,Wire Transfer,Mexico City,2024-01-13 02:00:00,0
292,2589,4592.01,Online Purchase,Tijuana,2024-01-13 03:00:00,1
293,1854,518.0,ATM Withdrawal,Tijuana,2024-01-13 04:00:00,1
294,2759,2534.73,ATM Withdrawal,Mexico City,2024-01-13 05:00:00,0
295,4296,1112.06,ATM Withdrawal,Tijuana,2024-01-13 06:00:00,0
296,3432,204.26,Online Purchase,Monterrey,2024-01-13 07:00:00,0
297,4474,189.73,Online Purchase,Mexico City,2024-01-13 08:00:00,0
298,2661,884.36,Online Purchase,Tijuana,2024-01-13 09:00:00,0
299,2153,4335.18,Online Purchase,Monterrey,2024-01-13 10:00:00,1
300,2076,1419.57,Online Purchase,Monterrey,2024-01-13 11:00:00,0
301,2707,4752.79,Online Purchase,Cancun,2024-01-13 12:00:00,0
302,3777,2912.3,Wire Transfer,Monterrey,2024-01-13 13:00:00,0
303,2695,2188.7,Online Purchase,Guadalajara,2024-01-13 14:00:00,1
304,2733,2904.64,POS Payment,Mexico City,2024-01-13 15:00:00,0
305,2439,2588.32,Online Purchase,Mexico City,2024-01-13 16:00:00,1
306,3294,3796.29,Online Purchase,Mexico City,2024-01-13 17:00:00,0
307,1835,1419.66,Online Purchase,Tijuana,2024-01-13 18:00:00,0
308,4510,1771.72,Online Purchase,Tijuana,2024-01-13 19:00:00,0
309,1202,4471.53,POS Payment,Guadalajara,2024-01-13 20:00:00,1
310,4255,4732.82,Online Purchase,Monterrey,2024-01-13 21:00:00,1
311,1122,4463.87,POS Payment,Tijuana,2024-01-13 22:00:00,1
312,1400,2103.05,POS Payment,Monterrey,2024-01-13 23:00:00,0
313,1766,3904.02,ATM Withdrawal,Monterrey,2024-01-14 00:00:00,1
314,1293,2386.92,ATM Withdrawal,Tijuana,2024-01-14 01:00:00,0
315,3327,2492.72,Wire Transfer,Tijuana,2024-01-14 02:00:00,0
316,4908,1031.35,Online Purchase,Guadalajara,2024-01-14 03:00:00,0
317,3931,2959.74,Wire Transfer,Cancun,2024-01-14 04:00:00,0
318,4681,938.82,Online Purchase,Mexico City,2024-01-14 05:00:00,0
319,1197,1664.51,Online Purchase,Tijuana,2024-01-14 06:00:00,0
320,4029,4276.6,ATM Withdrawal,Tijuana,2024-01-14 07:00:00,1
321,2930,1043.31,ATM Withdrawal,Monterrey,2024-01-14 08:00:00,0
322,4582,365.08,POS Payment,Cancun,2024-01-14 09:00:00,0
323,3799,354.35,Online Purchase,Tijuana,2024-01-14 10:00:00,0
324,3191,4704.51,POS Payment,Cancun,2024-01-14 11:00:00,1
325,1608,2539.53,Online Purchase,Mexico City,2024-01-14 12:00:00,0
326,4272,2052.97,Online Purchase,Monterrey,2024-01-14 13:00:00,0
327,2147,4056.28,Online Purchase,Guadalajara,2024-01-14 14:00:00,1
328,1186,4180.77,ATM Withdrawal,Mexico City,2024-01-14 15:00:00,1
329,4397,1667.63,Online Purchase,Cancun,2024-01-14 16:00:00,1
330,3511,3471.15,ATM Withdrawal,Cancun,2024-01-14 17:00:00,1
331,4420,3857.9,POS Payment,Mexico City,2024-01-14 18:00:00,0
332,2794,3276.71,ATM Withdrawal,Cancun,2024-01-14 19:00:00,1
333,1659,766.46,ATM Withdrawal,Guadalajara,2024-01-14 20:00:00,1
334,3811,4380.66,POS Payment,Guadalajara,2024-01-14 21:00:00,0
335,4002,2700.08,Wire Transfer,Cancun,2024-01-14 22:00:00,0
336,2955,1419.54,ATM Withdrawal,Cancun,2024-01-14 23:00:00,0
337,3450,2131.89,Online Purchase,Guadalajara,2024-01-15 00:00:00,1
338,2369,197.48,POS Payment,Cancun,2024-01-15 01:00:00,0
339,2986,648.06,ATM Withdrawal,Tijuana,2024-01-15 02:00:00,1
340,2534,3830.08,Online Purchase,Monterrey,2024-01-15 03:00:00,0
341,1146,10.06,Online Purchase,Tijuana,2024-01-15 04:00:00,0
342,4219,2088.66,POS Payment,Cancun,2024-01-15 05:00:00,0
343,3911,2617.33,Online Purchase,Cancun,2024-01-15 06:00:00,0
344,2734,282.63,POS Payment,Monterrey,2024-01-15 07:00:00,1
345,2843,4865.66,Online Purchase,Cancun,2024-01-15 08:00:00,1
346,1488,1138.37,Wire Transfer,Monterrey,2024-01-15 09:00:00,0
347,3976,1527.95,Online Purchase,Guadalajara,2024-01-15 10:00:00,1
348,2959,1526.67,ATM Withdrawal,Monterrey,2024-01-15 11:00:00,1
349,2663,1159.78,POS Payment,Monterrey,2024-01-15 12:00:00,0
350,3598,17.35,ATM Withdrawal,Tijuana,2024-01-15 13:00:00,0
351,3385,3649.43,ATM Withdrawal,Cancun,2024-01-15 14:00:00,1
352,3919,4834.56,Online Purchase,Guadalajara,2024-01-15 15:00:00,1
353,1640,1129.22,Online Purchase,Mexico City,2024-01-15 16:00:00,0
354,2802,3318.61,Online Purchase,Monterrey,2024-01-15 17:00:00,0
355,3520,3712.06,Wire Transfer,Mexico City,2024-01-15 18:00:00,0
356,2969,4243.64,Online Purchase,Cancun,2024-01-15 19:00:00,1
357,3198,2118.92,Online Purchase,Monterrey,2024-01-15 20:00:00,0
358,2438,1521.63,ATM Withdrawal,Mexico City,2024-01-15 21:00:00,0
359,4369,1633.22,Wire Transfer,Tijuana,2024-01-15 22:00:00,0
360,2634,3565.98,Wire Transfer,Mexico City,2024-01-15 23:00:00,0
361,1262,4085.73,Online Purchase,Tijuana,2024-01-16 00:00:00,1
362,2787,916.25,Online Purchase,Guadalajara,2024-01-16 01:00:00,0
